ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p
XLF,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,-0.09466254194991802,0.01760165275464254,-1.0911275033796959,0.822036387833817,-2.702289217515377,0.5200342107559853,-1.3273469636240462,0.18439393518739733
IEF,171,primary,m1_p1,car_raw,surprise_orth_bps,HC1,0.20097870319661088,0.04160958366947731,-0.9660219716750191,0.46897098889425914,-1.8851882197019005,-0.04685572364813758,-2.0598757589519723,0.03941041967733273
GLD,152,primary,m1_p1,car_raw,surprise_orth_bps,HC1,0.19780056566491233,0.0013755857514168301,-0.5377972542384181,1.9442805245017452,-4.348517058104485,3.2729225496276486,-0.276604763284474,0.7820836067877404
XLE,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,-0.1118625897100123,0.0005940096882595114,-0.2867022617464398,1.2684282690575386,-2.772775986071697,2.199371462578817,-0.22602954281322027,0.8211784430039855
XLI,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,0.022677439678121355,0.0007890362208395896,-0.12399033411448632,0.37748640450498605,-0.8638500915977775,0.6158694233688048,-0.32846304564817397,0.7425615810079571
XLB,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,-0.04886751695604,0.0009504629373979778,0.2626511016310651,0.815798912383297,-1.3362853852671444,1.8615875885292745,0.3219556898693932,0.7474862629805794
XLV,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,0.0217463402088115,0.01787138983471559,0.9035742007043369,0.5618260034898956,-0.19758453171393342,2.004732933122607,1.6082812028841726,0.1077736055637679
XLU,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,-0.2549921162367595,0.025784912636915402,1.2989123200803863,0.8261508627056331,-0.3203136166193494,2.918138256780122,1.5722459162318922,0.11589353051928762
XLP,201,primary,m1_p1,car_adj,surprise_orth_bps,HC1,-0.24496078902009355,0.0677172097667692,1.9661639555039634,0.8024043083796539,0.3934804100400705,3.5388475009678566,2.45034072595443,0.014272108908570714
SPY,214,primary,d0_p1,car_raw,surprise_bps,HC1,0.13600911143354288,0.04097774258294107,-1.769816661181612,0.8201199691789908,-3.3772222637745335,-0.16241105858869098,-2.1579972780730454,0.030928043425144377
GLD,164,primary,d0_p1,car_raw,surprise_bps,HC1,0.1836615128315886,0.025446725934639036,-1.7456693270436825,0.8939704945450424,-3.4978192995934263,0.006480645506061478,-1.9527147010954593,0.05085341072129748
QQQ,212,primary,d0_p1,car_adj,surprise_bps,HC1,0.27097966046721284,0.04562789671182732,-1.520945816830754,0.9927546444222662,-3.466709165383263,0.42481753172175557,-1.532046035116631,0.12551107512484044
XLK,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.22421082282960578,0.03736978549699388,-1.3146402792726046,0.998482322406116,-3.2716296703885024,0.6423491118432934,-1.316638512041575,0.18795982320945526
TLT,183,primary,d0_p1,car_raw,surprise_bps,HC1,0.2478779312588609,0.026160835510220082,-1.3141444542826946,0.7237930752790396,-2.7327528140891,0.10446390552371118,-1.8156355720536015,0.06942629315398582
IEF,183,primary,d0_p1,car_raw,surprise_bps,HC1,0.14235371919900625,0.08022998049781827,-1.0721059748213513,0.3119664759144807,-1.6835490319976154,-0.46066291764508677,-3.436606358675691,0.0005890510265268884
XLY,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.13089958914849037,0.03846819279704894,-0.9528211489373066,0.4919427438870538,-1.917011209411744,0.011368911537130641,-1.9368537513301893,0.05276322321287576
XLB,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.036998666746416865,0.014585501509081111,-0.7776482627139425,0.5215087657425171,-1.799786661191212,0.24449013576332695,-1.4911508948593366,0.1359218826368668
XLF,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.09224402758214556,0.0021507813996004543,-0.29489707544224564,0.6584460500675549,-1.5854276193373102,0.9956334684528192,-0.44786824283020604,0.654248288789452
XLI,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.0316095896210671,0.006544209051257854,-0.2898921309817388,0.260745063449395,-0.8009430644891643,0.22115880252568665,-1.1117837751049144,0.2662311295478249
XLV,213,primary,d0_p1,car_adj,surprise_bps,HC1,0.005364330212393784,0.007959017130826918,0.46314856670038224,0.47396549119477327,-0.4658067259562095,1.392103859356974,0.9771778226572493,0.3284811253286931
XLRE,72,primary,d0_p1,car_adj,surprise_bps,HC1,-0.18762944805616416,0.006325626706474963,0.6068581161493922,1.5811860452243913,-2.492209585347736,3.70592581764652,0.3837993119040404,0.701127198103793
XLU,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.21389351635397044,0.006975075372145811,0.6334194920023408,0.9573224623406538,-1.2428980557765428,2.5097370397812244,0.6616574006355496,0.5081908116001681
XLE,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.17009193467753192,0.011454847699353676,1.0598091799861475,0.992830953297766,-0.886103731214042,3.005722091186337,1.0674618639415987,0.2857633257192287
XLP,213,primary,d0_p1,car_adj,surprise_bps,HC1,-0.2001651631375252,0.026979048978489573,1.1296539356107482,0.9863056110274098,-0.8034695397527464,3.0627774109742427,1.145338648569601,0.2520689019598231
SPY,202,primary,d0_p1,car_raw,surprise_orth_bps,HC1,0.2497740233886275,0.09142878493810769,-2.731249657583808,0.7803274594948976,-4.260663374341444,-1.2018359408261705,-3.500132699869018,0.00046502660209027244
XLK,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,0.24058498955530655,0.0454560816921864,-1.6456821266018329,1.1347701287795071,-3.8697907097415456,0.57842645653788,-1.4502339151029937,0.14699330045024556
QQQ,200,primary,d0_p1,car_adj,surprise_orth_bps,HC1,0.2796273279664458,0.03443725906485362,-1.5132014566953966,1.1907904314923867,-3.8471078155553853,0.8207049021645917,-1.2707537923351808,0.2038162520394029
TLT,171,primary,d0_p1,car_raw,surprise_orth_bps,HC1,0.21528242482833454,0.01751650749701994,-1.0941255124650358,0.7130354985953549,-2.4916494094104915,0.30339838448041995,-1.5344614884117407,0.12491616063832112
IEF,171,primary,d0_p1,car_raw,surprise_orth_bps,HC1,0.13894132914043628,0.06635261093265432,-1.0713491962230062,0.366291357306095,-1.7892670643912447,-0.3534313280547675,-2.9248552412000333,0.0034461649110011077
XLY,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,0.14584718809205172,0.03856482275134043,-1.0180582522931323,0.4036902268688505,-1.8092765578668828,-0.22683994671938157,-2.5218798586963946,0.01167295681831703
GLD,152,primary,d0_p1,car_raw,surprise_orth_bps,HC1,0.11356246071891914,0.00336293232918472,-0.7099993840853706,1.5469087536737383,-3.7418848286556403,2.321886060484899,-0.4589794856349478,0.646248897727792
XLRE,60,primary,d0_p1,car_adj,surprise_orth_bps,HC1,0.10199812266565467,0.007354486022678186,-0.6851184694101344,1.1431437183383029,-2.925638986506408,1.555402047686139,-0.5993283770181029,0.5489539282675316
XLF,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,-0.03105377438619982,0.005230669900387008,-0.4948381809137186,0.6159437002538346,-1.702065649915569,0.7123892880881317,-0.8033821609179418,0.4217538826379742
XLI,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,0.04999506489568271,0.0013500765092021583,-0.13974448944603668,0.29573013722499814,-0.7193649075501211,0.4398759286580477,-0.4725405762068677,0.636540986449974
XLB,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,-0.05640041686596694,0.00014850229842011675,0.08737803932458706,0.6610664676863374,-1.2082884287277456,1.3830445073769198,0.13217738850134228,0.8948439855477651
XLE,201,primary,d0_p1,car_adj,surprise_orth_bps,HC1,-0.1903778797582605,0.005597856873073126,0.7202740985829492,1.1031494004245044,-1.441858995816034,2.8824071929819324,0.6529252504744867,0.5138044694753469
