ticker,n,spec,window,dep,shock,cov_type,alpha,r2,beta,se,ci_low,ci_high,t,p,sample,dep_mode
XLK,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.14207575348336743,0.03605840903027202,-2.499720993757977,1.3848025013215979,-5.21388402204929,0.21444203453333532,-1.8051101087500545,0.07105745352793742,baseline,car_adj
XLE,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.035593801854357954,0.0017819439460128317,-0.8461469432592686,1.443683459166627,-3.67571452830206,1.983420641783522,-0.5861028176825624,0.5578064229171324,baseline,car_adj
XLI,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.06523174874085814,0.004820371428172154,-0.5776382970162152,0.6018611665966478,-1.7572645072389066,0.6019879132064759,-0.9597533934322329,0.33717934391964144,baseline,car_adj
XLY,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.025077345404201083,0.0010947779331553775,-0.3684361446075852,1.0078953810672395,-2.3438747916836484,1.6070025024684778,-0.3655499881520003,0.7147008994591775,baseline,car_adj
SPY,202,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.0,,0.0,0.0,0.0,0.0,,,baseline,car_adj
XLF,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.02452905771138611,9.81988455406313e-06,0.04160913332976108,1.0044404318562525,-1.927057937724352,2.0102762043838744,0.04142518760705946,0.9669569332214928,baseline,car_adj
XLB,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.16066451306778112,0.0011139195086538045,0.46654211239990145,1.1117573965458256,-1.712462344375932,2.645546569175735,0.4196438124445354,0.6747456771919969,baseline,car_adj
XLV,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.10226924331108202,0.008661592784118155,0.9624960539272694,0.9173453845848464,-0.8354678612430743,2.7604599690976133,1.0492188330601961,0.294077412705275,baseline,car_adj
TLT,171,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.05888098201511255,0.002460945256495317,1.2876501343403302,2.6078936372284893,-3.823727470138674,6.399027738819335,0.4937510165133752,0.6214820307783445,baseline,car_adj
XLU,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,0.029139480502652873,0.010532257038838977,1.4312275407265533,0.9008539274404275,-0.33441371238814366,3.1968687938412503,1.5887454082517711,0.11211788274779852,baseline,car_adj
GLD,152,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.2563612638941967,0.0023715250356806106,1.488499525725331,3.8988180894164026,-6.153043511804082,9.130042563254746,0.38178224569285774,0.7026228889393997,baseline,car_adj
IEF,171,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.08501320643937105,0.020110438052451718,3.0091722189963037,2.216418049539922,-1.3349273327864568,7.353271770779064,1.3576735758946465,0.1745672850292267,baseline,car_adj
XLP,201,baseline,m5_p5,car_adj,surprise_orth_bps,HC1,-0.014712396232822111,0.053636886495186054,3.073210541959951,1.060722587007747,0.9942324738366131,5.1521886100832885,2.897280193334382,0.003764134067280632,baseline,car_adj
SPY,214,baseline,m1_p1,car_raw,surprise_bps,HC1,0.24031295925177,0.06822001547253187,-2.8678724246479215,0.7305848294221987,-4.29979237796677,-1.4359524713290732,-3.9254475444228016,8.656863413858317e-05,baseline,auto
GLD,164,baseline,m1_p1,car_raw,surprise_bps,HC1,0.27375510753346044,0.02224626986601741,-1.944261039126519,1.2466654903080734,-4.38768050089931,0.49915842264627275,-1.559569150058094,0.11886173153815464,baseline,auto
XLK,213,baseline,m1_p1,car_adj,surprise_bps,HC1,0.28656605874329016,0.036345168382441506,-1.3069810404138376,0.8799060296688023,-3.0315651683443225,0.4176030875166471,-1.4853643415829154,0.13744733622175814,baseline,auto
QQQ,212,baseline,m1_p1,car_adj,surprise_bps,HC1,0.2992262862642325,0.03174418198589135,-1.2740541486667578,1.0491948948201462,-3.330438355277534,0.7823300579440187,-1.2143160007323113,0.22462707782780256,baseline,auto
TLT,183,baseline,m1_p1,car_raw,surprise_bps,HC1,0.3681023162571105,0.016079330377520074,-1.1380190523129208,0.9158315834450194,-2.9330159717694473,0.6569778671436063,-1.2426073449357515,0.21401256198384078,baseline,auto
XLY,213,baseline,m1_p1,car_adj,surprise_bps,HC1,0.08592630630468784,0.03640940286612748,-1.1320538325080551,0.6919209816468047,-2.4881940366833923,0.22408637166728193,-1.6361027668415449,0.10181808123769437,baseline,auto
