meeting_id,meeting_date,announcement_timestamp,scheduled,emergency,target_before,target_after,target_after_asof,raw_change_bps,surprise_bps,surprise_orth_bps,surprise_source,date_validated_official,official_source,official_release_title,hf_tnote02_bps,hf_tnote10_bps,hf_tbond_bps
FOMC19901115,1990-11-15,1990-11-15 11:30:00,True,False,7.5,7.5,1990-11-15,0.0,1.063913678350975,1.076528140381739,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.6848519362186788,0.33492386499193044
FOMC19901116,1990-11-16,1990-11-16 11:30:00,True,False,7.5,7.5,1990-11-21,0.0,1.4334637221516,1.674461276112241,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,0.45392865270823846,0.4966080866411565
FOMC19901207,1990-12-07,1990-12-07 11:30:00,False,True,7.5,7.25,1990-12-12,-25.0,-1.992090683559733,-0.008370110483365417,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-0.44666534451495926,-1.1194632723833542
FOMC19901218,1990-12-18,1990-12-18 15:30:00,True,False,7.25,7.25,1990-12-18,0.0,-10.124975350136289,-8.224327071889139,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,-5.106967392997211,-4.125553914327917
FOMC19901219,1990-12-19,1990-12-19 11:30:00,True,False,7.25,7.0,1990-12-24,-25.0,3.6603293579467087,5.339594614218884,BauerSwanson2023_MPS_FRBSF,False,unmatched,,,1.1096858231038242,0.6345937961595274
FOMC19910108,1991-01-08,1991-01-08 11:30:00,False,True,7.0,6.75,1991-01-13,-25.0,-10.11484978232677,-9.26781429458266,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-2.4491633128574457,-5.855744505533535,-4.258812504984448
FOMC19910201,1991-02-01,1991-02-01 09:15:00,False,True,6.75,6.25,1991-02-06,-50.0,-4.116878860341843,-1.0155795910826861,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-1.6261449674379203,0.6617216557537016,1.419206463089821
FOMC19910201,1991-02-01,1991-02-01 11:30:00,False,True,6.75,6.25,1991-02-01,-50.0,-3.0847984950395704,0.01650077421958759,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.4874834542277756,-0.8823662513611743,-0.6307311272076818
FOMC19910207,1991-02-07,1991-02-07 11:30:00,True,False,6.25,6.25,1991-02-12,0.0,0.3954111330165211,3.365046506192637,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.324816011012866,0.21921951633192463,0.46807674934700216
FOMC19910308,1991-03-08,1991-03-08 11:30:00,False,True,6.25,6.0,1991-03-13,-25.0,-5.745761015394132,-4.502500845780853,BauerSwanson2023_MPS_FRBSF,False,unmatched,,1.961715647339158,-2.9307138700015614,-0.9819869972364157
